127.0.0.1 - - [01/Jun/2024:10:13:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:13:20 +0530] "GET /CarRental/edit-car.jsp HTTP/1.1" 500 2659
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:13:20 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:00 +0530] "GET /CarRental/login.jsp HTTP/1.1" 200 18799
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/tempusdominus/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/vendor-8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/gallery-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/bg-banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:01 +0530] "GET /CarRental/img/favicon.ico HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "POST /CarRental/UserSignUpController HTTP/1.1" 200 48376
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/about.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/car-rent-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/team-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/team-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/team-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/banner-left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/team-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/banner-right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:09 +0530] "GET /CarRental/img/testimonial-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car.jsp HTTP/1.1" 200 23858
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car_images/Innova%20Crysta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car_images/Eco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car_images/Swift.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car_images/Bolero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:14:19 +0530] "GET /CarRental/car_images/Nexon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:51:55 +0530] "GET /CarRental/car-single.jsp?cid=1 HTTP/1.1" 200 19170
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:52:01 +0530] "GET /CarRental/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:52:01 +0530] "GET /CarRental/login.jsp HTTP/1.1" 200 18799
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:52:07 +0530] "POST /CarRental/UserSignUpController HTTP/1.1" 200 44680
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:52:13 +0530] "GET /CarRental/view-car.jsp HTTP/1.1" 200 20617
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:52:15 +0530] "GET /CarRental/edit-car.jsp?cid=1 HTTP/1.1" 200 16719
